village,VillageID,GramPanch,Tahsil,ICTahsilID,district,ICDistrictID,StateName,StateID,JSSVillageID
NULL,NULL,NULL,NULL,NULL,Koriya ,1,CHHATTISGARH,22,NULL
NULL,NULL,NULL,Bharatpur,1,Koriya ,1,CHHATTISGARH,22,NULL
Badwahi ,5538100,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,2
Barchha ,5538200,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,3
Satkiyari ,5538300,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,4
Mehdauli ,5538400,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,5
Ghughari ,5538500,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,6
Bela ,5538600,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,7
Madisarai ,5538700,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,8
Harchoka ,5538800,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,9
Karri ,5538900,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,10
Chidaula ,5539000,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,11
Chhirhatola ,5539100,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,12
Bhuskatola ,5539200,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,13
Udaki ,5539300,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,14
Jawaritola ,5539400,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,15
Poonji ,5539500,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,16
Markhohi ,5539600,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,17
Padauli ,5539700,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,18
Janua ,5539800,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,19
Deogarh ,5539900,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,20
Ghordhara ,5540000,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,21
Charkhar ,5540100,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,22
Naudhiya ,5540200,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,23
Pandri ,5540300,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,24
Belgaon ,5540400,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,25
Domhara ,5540500,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,26
Harrai ,5540600,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,27
Awaradandi ,5540700,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,28
Singrauli ,5540800,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,29
Kuwari ,5540900,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,30
Larkonda ,5541000,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,31
Dongritola ,5541100,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,32
Badkadol ,5541200,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,33
Bharatpur ,5541300,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,34
Patwahi ,5541400,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,35
Jardol ,5541500,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,36
Janakpur ,5541600,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,37
Usta ,5541700,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,38
Dongritola ,5541800,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,39
Sirkhola ,5541900,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,40
Chanti ,5542000,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,41
Ganjar ,5542100,NULL,Bharatpur ,1,Koriya,1,Chhattisgarh,22,42
